序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1."陟"的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	2.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	3."鬾"的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	4.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	5."旯"的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	6.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	7."梏"的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	8.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	9."焱"的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	10.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	11."茕"的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	12.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	13."谶"的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	14.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	15."令狐冲"中令的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	16.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	17."匕首"中匕的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	18.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	19."十里堡"中堡的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	20.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	21."苘麻"中苘的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	22.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	23."稗子"中稗的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	24.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）
71	2021,9,1616:06:01	267秒	微信	N,A	114.254.3.42(北京-北京)	zhi4	zhi4,she4	不知道	chi1,zhi1,ji4	不知道	jiu3,ga1	ku4	gao4,ku4	yi4	yan2,yi4	qiong2	qiong2	chen4	chen4	ling2	ling4,ling2	bi3	bi3,bi4	pu4	pu4,pu3,bao3	不知道	jiong3	bi4	bei1,pi2
72	2021,9,1616:06:05	211秒	微信	N,A	124.205.76.108(北京-北京)	she4	zhi1	chi3	zhi1	la1	jiu2	gu4	hao4	yan4	yan2	qiong2	jie2	chen1	jie4	ling2	ling4	bi4	bi3	pu4	bao3	不知道	不知道	pi3	pi4
73	2021,9,1616:06:05	212秒	微信	N,A	36.112.205.59(北京-北京)	不知道	不知道	不知道	不知道	la2	la2	gu4	gu4	yan4	yan2	qiong2	qiong2	不知道	不知道	ling4	ling4	bi3	bi4	pu4	pu4	不知道	不知道	不知道	不知道
74	2021,9,1616:06:06	251秒	微信	N,A	124.205.77.146(北京-北京)	she4	she4	zhi1	zhi1	ga3	ga3	ku4	gao4	huo3	huo3	jie2	jie2	jian4	jian4	ling4	ling4	bi3	bi3	bao3	bao3	不知道	hui2	bi4	不知道
75	2021,9,1616:06:11	279秒	微信	N,A	124.64.19.193(北京-北京)	zhi4	不知道	不知道	不知道	不知道	不知道	gu4	gao4	yan4	yan4	qiong2	qiong2	chen4	chen4	ling2hu2chong1	ling2hu2chong1	bi3	bi3	pu4	pu4	不知道	不知道	不知道	不知道
76	2021,9,1616:06:18	222秒	微信	N,A	124.205.76.255(北京-北京)	zhi4	dou3	chi1	chi1	ga3	ga3	gao4	hao4	dan4	zhi4	zi1	zi4	chen4	chen1	ling4	ling4	bi3	bi4	bao3	bao3	tong2	tong2	bi3	bi3
77	2021,9,1616:06:20	261秒	微信	N,A	124.205.76.120(北京-北京)	zhi4	zhi4,she4	不知道	不知道	la2	不知道,la2	不知道	gao4	yi4	yan2,yan4,yi4	qiong2	qiong2,qing2	chen4	chen4	ling2	ling2,ling4	bi4	bi4,bi3	pu4	pu4,bao3	不知道	不知道	bei4	bei4,bi3,bi4
78	2021,9,1616:06:39	281秒	微信	N,A	223.104.38.125(北京-北京)	不知道	she4	不知道	zhi1	la2	la2	gu4	gao4	yan2	yan2	qiong2	qiong2	chen4	chen4	ling2	ling4	bi4	bi4	不知道	bao1	不知道	hui2	不知道	bi4
79	2021,9,1616:06:48	306秒	微信	N,A	124.205.76.255(北京-北京)	不知道	不知道,yi4	chi1	不知道,chi1,zhi1	不知道	不知道	gu4	gu4,gao4	不知道	不知道,yan2,yan4	qiong2	不知道,qiong2,qian1	chen4	chen4	ling4	ling2,ling4	bi3	bi2,bi3	bu4	bao3,bu4	不知道	不知道	bai4	bi4,bai4,不知道
80	2021,9,1616:06:48	281秒	微信	N,A	106.121.176.88(北京-北京)	she4	不知道	不知道	不知道	gui3	不知道	gao4	不知道	yan4	yan2	不知道	不知道	chen4	不知道	ling4	不知道	bi3	bi4	bao3	不知道	不知道	不知道	bai4	bi4
81	2021,9,1616:06:52	124秒	微信	N,A	124.205.77.199(北京-北京)	不知道	she4	不知道	zhi1	不知道	gui3	gu4	gu4	yi4	yi4	qiong2	qiong2	chen4	chen4	ling2	ling2	bi3	bi3	bao3	bao3	不知道	jiong3	bai4	bai4
82	2021,9,1616:07:07	331秒	微信	N,A	61.148.245.65(北京-北京)	zhi4	she4	chi1	zhi1	ga2	ga1	gu4	gao4	dan4	yan4	ying1	ying1	ji4	ji4	ling4	ling4	bi4	bi3	pu4	bao2	不知道	tong3	bai3	pi2
83	2021,9,1616:07:09	228秒	微信	N,A	124.205.77.85(北京-北京)	zhi4	bu4	chi1	zhi1	ga1	zhao4	gu4	gao4	yan4	yan2	qiong2	ying2	chen4	zang4	ling2	ling4	bi3	bi2	pu4	bao4	不认识	tong2	bi4	pi4
84	2021,9,1616:07:10	320秒	微信	N,A	124.205.77.98(北京-北京)	不知道	bu4,she4	不知道	zhi1	不知道	ga1	gu4	hao4	yan2	huo3	qiong2	ying2	zhen4	不知道	ling4	ling4	bi3	bi3	bao3	pu3	qiong2	hui2	bi3	bei1
85	2021,9,1616:07:11	223秒	微信	N,A	124.64.18.248(北京-北京)	she4	ba2	chi1	zhi1	ga1	gui3	gu4	gao4	yan3	yan2	qiong2	ying2	ji4	zi4	lin2	lin4	bi3	bi4	pu4	bao2	不知道	xun2	不知道	bi4,bai2
86	2021,9,1616:07:29	322秒	微信	N,A	124.205.77.127(北京-北京)	zhi4	bu4	chi1	zhi1	ga1	jiu3	gu	gao4	yan4	yan2	qiong2	qiong2	chen4	chen4	ling2	ling4	bi3	bi4	pu4	bao3	qiong2	qiong2	bi4	bi4
87	2021,9,1616:07:29	314秒	微信	N,A	124.205.77.85(北京-北京)	she4	she4, bu4	chi1	chi1, mei4	ga1	ga1	gu4	gao4, gu4	yan3	yan3, yan2	jie2	jie2, ying2	chen4	chen4, cheng4	ling4	ling4, ling2	bi2	bi2, bi3	pu4	pu4, bao3	hui2	hui2, tong2	bi4	bi4
88	2021,9,1616:07:48	360秒	微信	N,A	124.205.76.41(北京-北京)	不知道	she4	不知道	zhi1	不知道	ga1	gu4	gao4	yi4	yan2	qiong2	jie2	xi4	ji4	不知道	ling4,ling2	bi4	bi3	不知道	bao3,bu4	不知道	qiong2,jiong4	不知道	bi4
89	2021,9,1616:08:05	240秒	微信	N,A	61.148.243.206(北京-北京)	不知道	不知道	不知道	不知道	la2	ga1	hao4	hao4	不知道	不知道	不知道	不知道	yi1	yi1	ling4	ling4	bi3	bi3	bao2	bao2	不知道	tong2	不知道	bi3
90	2021,9,1616:08:17	308秒	微信	N,A	124.205.76.105(北京-北京)	she4	xi3	chi1	zhi1	ga1	ka1	gu4	hao4	yan4	yan2	ying2	jie2	jian4	jie4	ling2	ling4	bi4	bi3	bao3	bao3	不知道	tong2	bi3	bi4
91	2021,9,1616:08:36	125秒	微信	N,A	124.205.76.123(北京-北京)	不知道	yi1	zhi1	zhi1	ga1	ga1	hao4	hao4	yan2	yan2	yi4	yi4	不知道	不知道	ling4	ling4	bi3	bi4	bao3	bao3	xun2	xun2	pi2	pi3
92	2021,9,1616:09:00	341秒	微信	N,A	124.205.76.120(北京-北京)	不知道	不知道	不知道	不知道	不知道	不知道	gu4	gao4	yan4	yan2	不知道	不知道	chen4	chen4	ling2	ling4	bi3	bi3	bao3	bai3	不知道	不知道	不知道	不知道
93	2021,9,1616:09:19	385秒	微信	N,A	124.205.77.46(北京-北京)	zhi4	se2	不知道	kui2	na2	ga1	hao4	hao2	dan4	dan1	不知道	qian2	ye1	zhan1	ling4hu2chong1	ling1hu2chong1	bi1	bi4	pu4	bao3	不知道	guo3	bai4	bi4
94	2021,9,1616:09:26	389秒	微信	N,A	124.205.77.200(北京-北京)	不知道	bu4	不知道	zhi2	ga1	ga1	gu4	gao4	yan4	yan4	qiong2	qiong2	chen4	qin4	ling4	ling4	bi3	bi4	bao3	bao3	不知道	tong2	不知道	bei1
95	2021,9,1616:09:33	532秒	微信	N,A	223.104.39.194(北京-北京)	zhi4	zhi4, she4	不知道	qi2, zhi1	不知道	jiu3	gu4	gao4	yan4	yan2, huo3	qiong2	ying2	不知道	jian4, zhen4	ling4	ling4	bi4	bi2, bi3, bi4	pu2	bao3	不知道	hui2, xiang4	bi3	bi2, bi3, bei1, pi2
96	2021,9,1616:09:48	315秒	微信	N,A	124.205.76.197(北京-北京)	不知道	she4,zhi4	不知道	zhi4,chi1	kao1	kao1,gui3,jiu1	gu4	gu4,hao4,gao4	yan4	yan2,yan4,yi4	qiong2	qiong2,bo2,gao3	chen4	chen4,jie4,ji3	ling2	ling4	bi3,ling4	bi4,bi3	pu4	pu4,bao3	tong2	tong2,hao1,song1	不知道	bi4,bai4,pi3
97	2021,9,1616:09:49	450秒	微信	N,A	223.104.3.205(北京-北京)	不知道	she4,yi1	不知道	ji4	不知道	kao1	gu4	gu4	yan4	yan4,huo3	不知道	xun4	chen4	chen4,xie1,xie2,jie2	ling2	ling2,ling4	bi4	bi3,bi4	pu4	pu4,bao3,bao4	不知道	tong2	不知道	pi2
98	2021,9,1616:10:09	355秒	微信	N,A	124.205.77.31(北京-北京)	zhi4	bu4, she4, zhi4	chi4	zhi1, kui2, gui3	gui3	qiu2, jiu3	gu4	hao4, wu4	yan2	huo3, yi4	qiong2	niao3, miao3, shi1	chen4	zhui4	ling4	不知道	bi3	bi4	bao3	bao3	tong2	tong2	bi4	pi2
99	2021,9,1616:10:56	436秒	微信	N,A	124.205.76.179(北京-北京)	不知道	zhi4 l	不知道	ji4	ga1	ga1	不知道	hao4	yan4	yan4	qiong2	qiong2	chen4	chen4	ling4	ling4	bi4	bi4	不知道	pu3	不知道	qiong2	bi4	bi4
100	2021,9,1616:13:22	488秒	微信	N,A	124.64.17.44(北京-北京)	zhi4	zhi4,she4	chi4	chi4	la4	la4,ga2	gu4	gu4	yan4	yan4	qiong2	qiong2,ying4	ji1	ji1	ling4	ling4,libg2	bi2	bi2,bi4	bao3	bao3	不知道	hui2	bi4	bi4,pi2
101	2021,9,1616:19:22	371秒	微信	N,A	101.82.84.147(上海-上海)	不知道	zhi4	不知道	qi2	ga1	la2	gu4	gao4,hao4	yan4	yan2	qiong2	shi2	chen4	jie2	不知道	ling4	bi3	bi2	bu3	bao3	不知道	xun2,hui2	不知道	pi2,bai3
103	2021,9,1616:42:20	216秒	微信	N,A	124.205.76.59(北京-北京)	不知道	she4	不知道	ji4	不知道	mian3	ku4	gao4	yan4	yan4	qiong2	ying2	cheng4	cheng4	lin2	lin2	bi4	bi4	不知道	bao3	jiong1	jiong3	bi3	bi3
104	2021,9,1617:31:12	249秒	微信	N,A	124.205.76.235(北京-北京)	zhi4	she4	chi1	zhi1	ga1	gui3	gu4	gao4	yan4	yan3	qiong2	ying2	chen4	zhi4	ling2	ling4	bi2	bi4	不知道	bao3	不知道	不知道	bai3	pai2
105	2021,9,1618:18:30	214秒	微信	N,A	124.205.77.155(北京-北京)	zhi4	she4	chi1	zhi3	la1	ga1	gu4	gao4	yan4	yan3	qiong2	qiong2	chen4	cheng4,jian4	ling2	ling4	bi4	bi3	pu4	bao3	huo2	tong2	bi4	bi3
106	2021,9,1621:09:34	202秒	微信	N,A	36.112.192.101(北京-北京)	不知道	she4	不知道	zhi1	la2	la2	gu4	hao4	dan4	yan2	qiong2	ying2	chen4	jian4,chuo1	ling4	ling4	bi3	bi4	bao3	bao3	不知道	hui2,tong2	不知道	bi3
